caba_id,distrito_id,seccion_id,circuito,nombre,direccion,mesa_desde,mesa_hasta,num_mesas,geom
4692,1,15,158,INST SAN J DE LA PALABRA DIOS,CASTILLO 767,6874,6884,11,0101000020E61000008F62DB00D8374DC0449B6BCCEE4B41C0
5200,1,15,159,COLEGIO PAIDEIA,ACEVEDO 566,6944,6946,3,0101000020E61000002D16E10529384DC067D42C35644C41C0
4464,1,15,160,ESC Nº22 DR ROMULO S NAON,ARAOZ 234,7007,7011,5,0101000020E61000001F673D7932384DC0679F7373F04C41C0
4466,1,15,160,COLEGIO BUENOS AIRES,ACEVEDO 357,6976,6980,5,0101000020E61000002236AF347E384DC0B04CBA51A24C41C0
4565,1,15,163,ENET Nº34 E MARTIN HERMITTE,AGUIRRE 1473,7129,7144,16,0101000020E6100000CC9EA353C9384DC0C03C17686F4B41C0
8447,1,8,89,INST PQUIAL C H MARIO F ALSINA,"AQUINO y DELLEPIANE, LUIS, TTE. GRAL.",3576,3585,10,0101000020E6100000E4068506473D4DC041FA2B26825641C0
7227,1,13,145,COLEGIO N°8 JULIO A ROCA,"PINO, VIRREY DEL y ZUBERBUHLER, CARLOS E.",6141,6153,13,0101000020E61000004CB314FABA3A4DC0F00065D2E44841C0
4716,1,8,87,ESC N°18 JUAN B DE LA SALLE,"CORRALES y ACOSTA, MARIANO",3388,3397,10,0101000020E610000053AFD47DB8384DC03B2F02F01F5541C0
4706,1,8,87,ESC N°17 GASPAR BENAVENTO,"CORRALES y ACOSTA, MARIANO",3378,3387,10,0101000020E610000053AFD47DB8384DC03B2F02F01F5541C0
7749,1,1,2,ESCUELA GUILLERMO RAWSON,HUMBERTO 1° 343,46,54,9,0101000020E61000001EC8D45E6F2F4DC0D34D712A724F41C0
4636,1,1,5,ESC Nº25 BANDERA ARGENTINA,LETONIA y ANTARTIDA ARGENTINA AV.,73,85,13,0101000020E6100000CD83F62B7D2F4DC01DAD4D7B6B4B41C0
4639,1,1,5,EMEM Nº6 PADRE C MUGICA,LETONIA y ANTARTIDA ARGENTINA AV.,86,94,9,0101000020E6100000CD83F62B7D2F4DC01DAD4D7B6B4B41C0
4394,1,1,17,ESC N°5 AGUSTIN ALVAREZ,HUMBERTO 1° 1573,432,445,14,0101000020E610000015486552B2314DC01F557819874F41C0
4305,1,3,40,ESC N°11 JOSE FEDERICO MORENO,HUMBERTO 1° 3171,1293,1304,12,0101000020E61000007A09C92E7D344DC0F5A9C758D34F41C0
8474,1,6,70,COLEGIO INTEGRAL CABALLITO,"ARANGUREN, JUAN F., DR. 723",2572,2575,4,0101000020E6100000EA0F001F97384DC0FE73BD9BA24E41C0
6657,1,7,80,ESC Nº5 REPUBLICA DEL SALVADOR,"ARTIGAS, JOSE GERVASIO, GRAL. 878",3047,3057,11,0101000020E6100000B0E1A1E0E23B4DC0A306BB4B764F41C0
4938,1,11,115,INST N S DE LA SAGRADA FAMILIA,"ARTIGAS, JOSE GERVASIO, GRAL. 1276",4688,4700,13,0101000020E610000079627CFB3C3C4DC0993E84C2D74E41C0
4893,1,12,124,ESC N°13 HILARION M MORENO,"ARTIGAS, JOSE GERVASIO, GRAL. 5645",5108,5116,9,0101000020E610000003D397E98E404DC026F907AABA4941C0
4491,1,13,135,ESC N°10 JOAQUIN M CULLEN,11 DE SEPTIEMBRE DE 1888 3451,5667,5676,10,0101000020E6100000830E1FB1F23A4DC071EE4C65FB4541C0
4495,1,13,135,INSTITUTO AULA XXI,11 DE SEPTIEMBRE DE 1888 3168,5644,5652,9,0101000020E610000093CA51BFBE3A4DC052AB75F4464641C0
4546,1,1,146,UNIVERSIDAD CATOLICA ARGENTINA,"MOREAU DE JUSTO, ALICIA AV. 1400",6168,6179,12,0101000020E61000007AD2D688DA2E4DC095FADB97A64E41C0
5275,1,15,162,ESC N°13 PCIA DE NEUQUEN,"SEGUI, F. J., ALTE. 2580",7092,7098,7,0101000020E6100000DD77C8C8003B4DC0251CF1806B4C41C0
9311,1,3,30,ESC N°14 J M DE PUEYRREDON,PUEYRREDON AV. 630,969,976,8,0101000020E61000006BD92588DB334DC04CF903002A4D41C0
5135,1,15,165,ESC Nº4 GRAL LAVALLEJA,14 DE JULIO 546,7227,7232,6,0101000020E6100000AAB3410B593B4DC0381C9B902F4B41C0
4663,1,2,21,ESC N°1 JUAN JOSE CASTELLI,AYACUCHO 1680,551,573,23,0101000020E6100000304170F832324DC03D15B5F28C4B41C0
4312,1,3,39,COL EUSKAL ECHEA,CHILE 2032,1267,1273,7,0101000020E61000007D9DB4F295324DC0860D5F4CFF4E41C0
4367,1,1,1,ESC N°26 HIPOLITO YRIGOYEN,SAN JUAN AV. 353,1,11,11,0101000020E6100000F6BDFCC0652F4DC08C6AC3CC934F41C0
5043,1,1,1,INSTITUTO MARIA AUXILIADORA,"GARAY, JUAN DE AV. 556",12,18,7,0101000020E610000087EC989CCF2F4DC0CF6C05BDEE4F41C0
9009,1,1,1,ESC. N°27 DEAN FUNES,DEFENSA 1431,29,31,3,0101000020E610000044AD2149832F4DC027A358FDF34F41C0
5113,1,1,2,ESC Nº1 VALENTIN GOMEZ,INDEPENDENCIA AV. 758,32,45,14,0101000020E6100000158B9E153A304DC0E471FE380A4F41C0
9012,1,1,2,COL. NAC. N°7 J M PUEYRREDON,CHACABUCO 922,55,60,6,0101000020E6100000BB39CE571B304DC034D7655A344F41C0
8391,1,1,3,UNIVERSIDAD CATOLICA ARGENTINA,"MOREAU DE JUSTO, ALICIA AV. 1400",61,66,6,0101000020E61000007AD2D688DA2E4DC095FADB97A64E41C0
8066,1,1,4,UNIVERSIDAD CATOLICA ARGENTINA,"MOREAU DE JUSTO, ALICIA AV. 1400",67,72,6,0101000020E61000007AD2D688DA2E4DC095FADB97A64E41C0
4596,1,1,6,ESC COM Nº2 D F SARMIENTO,"QUINTANA, MANUEL, PRES. 31",95,114,20,0101000020E6100000055963EC43314DC047648849D14B41C0
5335,1,1,6,INST SUP DE LENGUAS VIVAS,"PELLEGRINI, CARLOS 1515",137,141,5,0101000020E610000034429872CE304DC0159169878F4B41C0
5210,1,1,7,USAL FACULTAD DE CS ECONOMICAS,"ALVEAR, MARCELO T. DE 1335",142,155,14,0101000020E6100000F8702B266F314DC0C239A921694C41C0
9015,1,2,7,UCES UNIV DE CS SOCIALES Y EMP,PARAGUAY 1462,156,159,4,0101000020E61000002CF519BFA0314DC090667C76974C41C0
9377,1,1,7,COLEGIO JESUS MARIA,TALCAHUANO 1260,160,165,6,0101000020E6100000C7B8BF5A69314DC08134CC16FD4B41C0
4631,1,1,8,COLEGIO SAN MARON,PARAGUAY 834,186,191,6,0101000020E6100000020693367D304DC0FCA9DCC0814C41C0
4641,1,1,8,ESC Nº6 FRENCH Y BERUTI,BASAVILBASO 1295,166,180,15,0101000020E6100000DACEC35C46304DC096EBB58FEB4B41C0
9023,1,1,8,INST SUPERIOR DE LENGUAS VIVAS,"PELLEGRINI, CARLOS 1515",181,185,5,0101000020E610000034429872CE304DC0159169878F4B41C0
4407,1,1,9,ESC N°4  CATEDRAL J M ESTRADA,RECONQUISTA 461,207,215,9,0101000020E61000009DA1B5ECAC2F4DC063BEA0DE1C4D41C0
4410,1,1,9,COLEGIO DE NUESTRA SEÑORA,ESMERALDA 759,216,224,9,0101000020E61000001050053669304DC083D5895DB84C41C0
4412,1,1,10,ESC N°8 NICOLAS AVELLANEDA,TALCAHUANO 680,235,251,17,0101000020E6100000144EE27355314DC005F9E895E74C41C0
4404,1,1,11,ESC N°9 FAMILIA DE CABEZON,"PERON, JUAN DOMINGO, TTE. GENERAL 1140",260,269,10,0101000020E61000000251A76DFA304DC046F5F317984D41C0
8691,1,1,11,ESC TEC N° 19 ALEJANDRO VOLTA,LAVALLE 1681,280,287,8,0101000020E6100000878C2B9207324DC0D7965E3D304D41C0
9029,1,1,11,ESC N°5 RODRIGUEZ PEÑA,RODRIGUEZ PEÑA 747,270,279,10,0101000020E6100000DDDC90021A324DC0EBFD4AF0D84C41C0
9032,1,1,11,INSTITUTO SANTA ROSA,"MITRE, BARTOLOME 1655",288,296,9,0101000020E6100000D00E5F1CE9314DC0A47FAD73CD4D41C0
4395,1,1,12,COLEGIO DON BOSCO,SOLIS 252,297,311,15,0101000020E6100000298749D8F5314DC04A9E25175A4E41C0
9035,1,1,12,FUND DE ALTOS EST EN CS COM,URUGUAY 57,312,315,4,0101000020E61000005A16D3EE70314DC032319DF5D64D41C0
9037,1,1,12,ESC N°14 MARIANO NECOCHEA,"SAENZ PEÑA, LUIS, PRES. 463",316,324,9,0101000020E6100000B4BC1F329B314DC0E0203F149E4E41C0
9040,1,1,12,ESC N°13 PCIA S DEL ESTERO,CHILE 1371,325,330,6,0101000020E61000008D96736958314DC0EB6D08D8ED4E41C0
4350,1,1,13,ESC N°2 FRAY C RODRIGUEZ,CHILE 1670,347,353,7,0101000020E61000002F0A2818EB314DC0643D18B7F34E41C0
9306,1,5,59,ESC N°6 SAN JOSE DE CALASANZ,LA PLATA AV. 1038,1994,2007,14,0101000020E61000006080AC4199364DC08DB7D2EF4E5041C0
5328,1,1,13,UADE UNIV ARG DE LA EMPRESA,LIMA 761,331,338,8,0101000020E6100000E1A22C2DD8304DC0BA77DF3EFC4E41C0
9043,1,1,13,INSTITUTO LOS ROBLES,BELGRANO AV. 1548,339,346,8,0101000020E6100000D1F3E90AAD314DC08EDB9A608C4E41C0
9046,1,1,13,INST NTRA SRA DE MONSERRAT,BELGRANO AV. 1344,363,366,4,0101000020E6100000C42E1DE351314DC04CDF2403864E41C0
9049,1,2,13,UBA FAC DE CS SOCIALES,"ALVEAR, MARCELO T. DE 2230",354,362,9,0101000020E61000005B372D8124334DC0D5C33FDA684C41C0
4363,1,1,15,ESC N°3 SANCHEZ DE THOMPSON,TACUARI 567,382,391,10,0101000020E6100000CBA7B41C82304DC06B706240B34E41C0
5116,1,1,15,ESC Nº4 CNEL ISIDORO SUAREZ,REPUBLICA BOLIVARIANA DE VENEZUELA 771,392,401,10,0101000020E6100000B83C9BA049304DC0D7FA54E1954E41C0
9052,1,1,15,ESC N°21 HIPOLITO VIEYTES,PERU 946,402,407,6,0101000020E61000007EE16AFFE82F4DC08F873D7C3B4F41C0
4137,1,1,16,ESC STA CATALINA DE ALEJANDRIA,PIEDRAS 1527,418,422,5,0101000020E6100000A8C3E29B23304DC072520902345041C0
6223,1,1,16,UNIV ARGENTINA J F KENNEDY,PERU 1156,423,427,5,0101000020E610000044EA5AE5E22F4DC0E8342D668B4F41C0
8073,1,1,16,ESC N°3 DE RECUPERACION,PIEDRAS 1430,408,417,10,0101000020E61000001B52FF4134304DC0230CDC800B5041C0
7755,1,1,17,COLEGIO INMACULADA CONCEPCION,"CALVO, CARLOS 1186",455,458,4,0101000020E6100000CA7BD367FB304DC09CD6ECB2554F41C0
8700,1,1,17,ESC N°11 DR RICARDO GUTIERREZ,"SAENZ PEÑA, LUIS, PRES. 1215",459,466,8,0101000020E6100000843D548190314DC089BF3820B44F41C0
9058,1,1,17,ESC N°7 GRAL GUEMES,"CALVO, CARLOS 1140",446,454,9,0101000020E6100000A3E8E285EB304DC02C2D1988554F41C0
4388,1,1,18,ESC N°16 EUSTAQUIO CARDENAS,SALTA 1226,467,476,10,0101000020E6100000874FC53A03314DC0496713C8AE4F41C0
5109,1,1,18,COLEGIO DE LA PROVIDENCIA,COCHABAMBA 1414,482,488,7,0101000020E61000004890713276314DC005AE9C1DE04F41C0
9061,1,1,18,INSTITUTO J M ESTRADA,ENTRE RIOS AV. 1428,477,481,5,0101000020E610000059EB1C0813324DC09E2038630F5041C0
4081,1,1,19,INSTITUTO VOCACIONAL DE ARTE,"GARAY, JUAN DE AV. 1684",518,520,3,0101000020E610000038D2094ECF314DC0529C1E9C4A5041C0
4083,1,1,19,ESC N°6 TOMAS GUIDO,SAN JOSE 1985,489,498,10,0101000020E6100000996B704B58314DC0D97CD655EB5041C0
4085,1,1,19,ESC N°4 CNEL MARINA T ESPORA,SOLIS 1815,499,508,10,0101000020E6100000ACBC43C9D4314DC090D09C3A8F5041C0
9067,1,1,19,INST HOGAR DEL PINO,CONSTITUCION 1650,513,517,5,0101000020E6100000ECE32E38D3314DC0E0D1DD65025041C0
4591,1,2,20,UBA FAC DE DERECHO Y CS SOCIAL,"FIGUEROA ALCORTA, PRES. AV. 2263",521,543,23,0101000020E6100000C1ABBD2939324DC02700AB4BA94A41C0
4666,1,2,21,ESC N°21 ANGEL GALLARDO,AYACUCHO 1849,544,550,7,0101000020E610000014B31A44FB314DC064EF83F25E4B41C0
9227,1,2,21,UBA FAC DE DERECHO Y CS SOCIAL,"FIGUEROA ALCORTA, PRES. AV. 2263",578,584,7,0101000020E6100000C1ABBD2939324DC02700AB4BA94A41C0
4570,1,2,22,ESC N°18 DR HERRERA VEGAS,LAS HERAS GENERAL AV. 3086,598,607,10,0101000020E61000006F17EB7AE2334DC0588F666DB24A41C0
8075,1,2,22,COLEGIO RIO DE LA PLATA (SEC),LAPRIDA 1635,608,611,4,0101000020E61000007346AA1EB2334DC09A4FE4C8A14B41C0
8810,1,2,22,INST. VOCACIONAL ARGENTINO,CHARCAS 3034,585,597,13,0101000020E6100000B1AB5FEB55344DC090E0A547E64B41C0
9099,1,2,22,ESC. N°24 CORNELLA PIZARRO,PEÑA 2670,612,623,12,0101000020E61000005CCF37F769334DC0BEC2641E464B41C0
9102,1,2,22,INSTITUTO SAN TARSICIO,JUNCAL 2623,624,629,6,0101000020E6100000155DF6DEA5334DC08D92DAC3884B41C0
9105,1,1,22,ALIANZA FRANCESA C FORTABAT,CORDOBA AV. 936,630,632,3,0101000020E610000051C07659AB304DC04E820866AE4C41C0
4600,1,2,23,ESC N°10 GREGORIA PEREZ,ARENALES 2733,651,663,13,0101000020E61000006FEC3D63C9334DC00C553C35CB4B41C0
4621,1,2,23,INSTITUTO MERCEDES PACHECO,"ANCHORENA, TOMAS MANUEL DE, DR. 1553",664,673,10,0101000020E6100000750D57B2AA334DC04941604BCA4B41C0
8818,1,2,23,INST. M BIANCHI DE COPELLO,"PACHECO DE MELO, JOSE ANDRES 2455",674,678,5,0101000020E610000082C474891B334DC08D81EE3D444B41C0
9108,1,2,23,INSTITUTO SAN AGUSTIN,AGUERO 2320,633,650,18,0101000020E6100000FD70730C32334DC044C51C170C4B41C0
9111,1,2,23,COLEGIO SAN PABLO,"PACHECO DE MELO, JOSE ANDRES 2300",679,691,13,0101000020E6100000FD771244E2324DC0A44230D85C4B41C0
4594,1,2,24,UBA FACULTAD DE INGENIERIA,LAS HERAS GENERAL AV. 2214,692,708,17,0101000020E6100000CED56A78B6324DC02AA714A2504B41C0
4602,1,2,24,INST N SRA DE LA MISERICORDIA,AZCUENAGA 1630,709,720,12,0101000020E6100000DB4B406ED6324DC06E75909E894B41C0
9114,1,2,24,INSTITUTO SAN MIGUEL,LARREA 1254,721,727,7,0101000020E6100000F20925033B334DC0A1A1F2C0D74B41C0
9116,1,2,24,INSTITUTO ETCHEVERRY BONEO,JUNCAL 2131,728,730,3,0101000020E61000000156B503EC324DC0B564E77CDE4B41C0
4653,1,2,25,COLEGIO LA ANUNCIATA,ARENALES 2065,731,736,6,0101000020E6100000BFE7494EC0324DC04FCBB37B184C41C0
9119,1,2,25,ESC. N°1 DE RECUPERACION,AYACUCHO 953,737,748,12,0101000020E610000056458449AE324DC0027ADA728C4C41C0
9122,1,2,25,ESC. N°1 ROQUE SAENZ PEÑA,CORDOBA AV. 1951,749,768,20,0101000020E6100000130F233694324DC0114D4216C04C41C0
4604,1,2,26,INST INM C DE M ADORATRICES,URUGUAY 936,788,792,5,0101000020E6100000C87D68918A314DC05B4DEF35884C41C0
4606,1,2,26,ESC Nº3 ONESIMO LEGUIZAMON,SANTA FE AV. 1510,776,787,12,0101000020E6100000CC68CB6BBE314DC0376D31E2444C41C0
4612,1,2,26,COLEGIO CHAMPAGNAT,MONTEVIDEO 1046,803,818,16,0101000020E61000005D09C149E8314DC0DF16F1C95D4C41C0
5209,1,2,26,INSTITUTO DEL CARMEN,PARAGUAY 1766,793,802,10,0101000020E61000000DEFEDD834324DC08E00A537A24C41C0
9125,1,2,26,ESCUELA ARGENTINA MODELO,RIOBAMBA 1059,769,775,7,0101000020E61000004015EE1085324DC0EEFFDC1E584C41C0
4616,1,2,27,ESC N°1 R SAENZ PEÑA,CORDOBA AV. 1951,829,848,20,0101000020E6100000130F233694324DC0114D4216C04C41C0
9129,1,2,27,ESC SUP DE COM C PELLEGRINI,"ALVEAR, MARCELO T. DE 1851",819,828,10,0101000020E61000002E874A006B324DC09BC3684D714C41C0
9132,1,2,27,ESC N°23 BERNARDINO RIVADAVIA,LARREA 854,849,856,8,0101000020E610000029613ABC7F334DC0815F782B974C41C0
4555,1,2,28,COLEGIO ALETHEIA,GALLO 1341,871,880,10,0101000020E61000008334851090344DC05F63316F1C4C41C0
8841,1,2,28,ESC. N°6 MANUEL BELGRANO,ECUADOR 1158,881,892,12,0101000020E6100000580C75BFD3334DC0346048895D4C41C0
8844,1,2,28,INST EDMUNDO DE AMICIS,"QUIRNO COSTA, NORBERTO, DR. 1260",893,908,16,0101000020E6100000520BE9BDE4334DC04455FC53314C41C0
9135,1,2,28,LICEO NAC N°1 J F ALCORTA,SANTA FE AV. 2778,857,870,14,0101000020E6100000DD76B6D4F6334DC09D2D7222E04B41C0
4545,1,2,29,ESC N°13 REP DE IRAN,"CABRERA, JOSE A. 3484",927,938,12,0101000020E6100000B234970F2A354DC047ED51F1624C41C0
9138,1,2,29,ESC N°2 JUAN LARREA,LAPRIDA 1235,909,926,18,0101000020E610000067C3F7BD2C344DC095CD44F1184C41C0
9141,1,2,29,INST EDUC NUEVO GUIDO SPANO,BILLINGHURST 1355,939,943,5,0101000020E6100000C9E31BA7E2344DC064201760134C41C0
4307,1,3,30,ESC N°8 DR ARTURO MATEO BAS,TUCUMAN 3233,944,953,10,0101000020E6100000ADAB03C3AF344DC0D58A5B8ED74C41C0
4311,1,3,30,ESC N°23 TOMAS DE ANCHORENA,"ANCHORENA, TOMAS MANUEL DE, DR. 855",954,960,7,0101000020E610000077D5141046344DC0309F9076A64C41C0
4315,1,3,30,ESC N°24 PCIA DE CATAMARCA,"JAURES, JEAN 870",961,968,8,0101000020E6100000043E8D8D29344DC05D23F6DAD74C41C0
4338,1,3,31,ESC N°10 PRESIDENTE QUINTANA,LAVALLE 2366,993,1008,16,0101000020E61000006A62E10341334DC0A43457B73D4D41C0
4345,1,3,31,UBA FACULTAD DE CS ECONOMICAS,CORDOBA AV. 2150,977,992,16,0101000020E6100000FF7B583BEF324DC0E2945513C74C41C0
9285,1,3,31,UBA FAC DE CS ECONOMICAS,CORDOBA AV. 2122,1009,1014,6,0101000020E6100000FF7B583BEF324DC0E2945513C74C41C0
4318,1,3,32,COLEGIO SANTO TOMAS DE AQUINO,"PERON, JUAN DOMINGO, TTE. GENERAL 1862",1024,1027,4,0101000020E6100000B1B1D56E4F324DC07FCEA964AF4D41C0
4320,1,3,32,ESC Nº2 ANTONIO BERMEJO,RIOBAMBA 623,1015,1023,9,0101000020E61000006866BA8671324DC0D0E9E73D034D41C0
5107,1,3,32,INSTITUTO UNIVERSITAS,LAVALLE 1838,1034,1038,5,0101000020E61000003B8BDB4B50324DC0FD19F1EC354D41C0
8735,1,3,32,UNIV DEL SALVADOR FILOSOFIA,LAVALLE 1878,1039,1048,10,0101000020E61000007E88A1D95D324DC04840BF84364D41C0
9372,1,3,32,COLEGIO DEL SALVADOR,CALLAO AV. 542,1028,1033,6,0101000020E6100000EE116FF140324DC0D067D2D81E4D41C0
9387,1,14,151,ESC Nº20 CARLOS M BIEDMA,GUEMES 4610,6449,6462,14,0101000020E6100000C776EB3548364DC0DEAB2CCB684A41C0
4298,1,3,33,ESC Nº6 GRAL M RODRIGUEZ,"ANCHORENA, TOMAS MANUEL DE, DR. 441",1069,1077,9,0101000020E6100000478BE7358E344DC070E7E673694D41C0
5096,1,3,33,COLEGIO Nº5 BARTOLOME MITRE,"GOMEZ, VALENTIN 3163",1049,1056,8,0101000020E610000054D7C1E97D344DC0F39B55B4744D41C0
4327,1,3,34,ESC CANGALLO SCHULE,"PERON, JUAN DOMINGO, TTE. GENERAL 2169",1086,1098,13,0101000020E61000002CAE7881DF324DC0CD661B0EB84D41C0
4329,1,3,34,UBA CENTRO DE IDIOMAS,JUNIN 224,1099,1106,8,0101000020E610000009C124F5C1324DC090A72FC4AB4D41C0
4335,1,3,34,INST ARG GALLEGO SGO APOSTOL,PASO 51,1078,1085,8,0101000020E61000005433C14CA0334DC068302955F54D41C0
4286,1,3,35,UBA FACULTAD DE PSICOLOGIA,"YRIGOYEN, HIPOLITO 3242",1121,1131,11,0101000020E61000005E92924ECD344DC09FA74440604E41C0
5095,1,3,35,ESC Nº2 M ACOSTA,"URQUIZA, GRAL. 277",1145,1157,13,0101000020E6100000C67AEAC879344DC0367634B78C4E41C0
5324,1,3,35,INSTITUTO ARCANGEL SAN MIGUEL,"ANCHORENA, TOMAS MANUEL DE, DR. 41",1132,1144,13,0101000020E6100000A03782B6B2344DC047B0EE5C114E41C0
4264,1,3,36,ESC Nº12 REP DEL PARAGUAY,AGRELO 3231,1171,1182,12,0101000020E61000001AC6F50DB3344DC0CDF09107174F41C0
4271,1,3,36,ESC Nº5 PAUL GROUSSAC,CATAMARCA 462,1158,1170,13,0101000020E61000005440C91DF7334DC0041DDA9DC44E41C0
4310,1,3,37,ESC N°6 GUILLERMO CORREA,SAAVEDRA 695,1183,1193,11,0101000020E61000007883250D89334DC07181C2C8024F41C0
4314,1,3,37,ENET N°25 FRAY LUIS BELTRAN,JUJUY AV. 780,1194,1201,8,0101000020E6100000F9A5EE68A8334DC02F5DB3A2254F41C0
4324,1,3,37,CIRC DE SUBOFICIALES DE LA PFA,BELGRANO AV. 2584,1202,1208,7,0101000020E6100000B0C7B2428A334DC0B21B7204AB4E41C0
5099,1,3,37,LICEO Nº10 RICARDO ROJAS,JUJUY AV. 150,1209,1211,3,0101000020E61000007041D5B9EA334DC0271FB94F514E41C0
8750,1,3,37,ESC Nº1 ESTEBAN DE LUCA,"ALSINA, ADOLFO 2499",1212,1215,4,0101000020E61000009DCE6A5B5D334DC00282DA1C5A4E41C0
4319,1,3,38,ESC N°15 NARCISO DE LAPRIDA,MEXICO 2383,1216,1225,10,0101000020E61000003665C82732334DC0E52EFF78E54E41C0
8740,1,3,38,COLEGIO SAN JOSE,"MITRE, BARTOLOME 2455",1235,1245,11,0101000020E6100000AE89C3F362334DC0EDE9D963E54D41C0
4317,1,3,39,ESC DE COM N°5 J DE SAN MARTIN,ENTRE RIOS AV. 757,1253,1262,10,0101000020E6100000355AF30C26324DC038ECB3EF0A4F41C0
4342,1,3,39,INSTITUTO SUP DE VIAJANTES,COMBATE DE LOS POZOS 146,1279,1282,4,0101000020E6100000609C20EB56324DC0458C2697304E41C0
